,id,cost,model_number,model_year,color,mileage,guarantee_period,store_id
343,2100006018264,88000,JBH-CA4AA,2019.0,ピンク,3734.0,1,62
344,2100006078572,628000,2BL-NC59,2021.0,銀,2125.0,7,15
345,2100006207477,208000,EBJ-CE47A,2020.0,黒,7015.0,1,66
347,2100005671958,615000,RN13N,2005.0,青,39008.0,3,72
348,2100005884037,178000,EBJ-SE44J,2007.0,銀,12809.0,3,43
349,2100005991643,888000,2BL-RN51J,2016.0,青,11372.0,3,1
350,2100005501149,908000,2BL-RN52J,2017.0,黒,12473.0,3,15
351,2100006311327,318000,2BJ-JA45,2021.0,緑,4379.0,1,31
352,2100005258807,328000,2BJ-JA45,2018.0,黄,357.0,1,33
354,2100005029360,108000,JBH-AF70,2015.0,ピンク,2581.0,3,9
355,2100005879491,1258000,2BL-ZX636G,2019.0,黒,17198.0,3,18
356,2100005992329,348000,BC-SJ02J,2002.0,白,11480.0,3,52
357,2100005731119,620000,EBL-XGB,2017.0,黒,10856.0,3,43
360,2100006294415,1628000,YJJE,2018.0,黒,16053.0,3,70
363,2100005847148,378000,2BK-DN11A,2017.0,黒,8218.0,3,7
364,2100004050723,1348000,2BL-NC42,2019.0,黒,6777.0,5,2
365,2100005775427,1398000,2BL-SC65,2017.0,黒,9962.0,3,49
366,2100004351158,578000,2BK-DS11A,2022.0,黒,1.0,7,76
369,2100005404938,1228000,GN4,2008.0,黒,5542.0,3,77
373,2100005938259,378000,JBK-MC40,2010.0,赤,5350.0,3,13
375,2100005337083,258000,8BJ-EA12J,2023.0,白,187.0,3,10
376,2100005614696,848000,2BK-ZX250E,2022.0,黒,3502.0,7,36
378,2100005687775,428000,2BK-DS11A,2018.0,黄,3376.0,5,40
379,2100006313222,278000,2BJ-DV12B,2019.0,青,3959.0,1,31
382,2100005976183,498000,2BL-EX400G,2019.0,黒,9918.0,5,27
384,2100006079937,98000,JBH-SA36J,2009.0,赤,582.0,3,2
385,2100003500021,2180000,29L,1984.0,白,5426.0,1,6
387,2100005845908,1598000,YNJ,2018.0,白,17751.0,0,44
388,2100006023893,468000,BA-DG11J,2012.0,緑,9125.0,3,59
390,2100006018585,1558000,2BL-ZR900C,2022.0,黒,4966.0,7,43
391,2100006221084,218000,EBJ-JF31,2021.0,白,11561.0,3,26
392,2100005910033,356000,2BJ-JA48,2019.0,青,11127.0,3,67
393,2100005356664,585000,2BL-NC59,2021.0,青,2679.0,7,72
394,2100006133004,338000,2BK-MC52,2018.0,黒,27540.0,1,13
395,2100006203875,358000,2BJ-JK05,2021.0,青,4691.0,1,26
396,2100006154276,278000,2BJ-JA44,2018.0,緑,24738.0,3,2
397,2100005845717,326000,2BJ-JA45,2021.0,緑,5753.0,3,63
398,2100006210330,278000,2BJ-JA44,2018.0,茶,6980.0,3,13
399,2100005694278,1348000,EBL-SD04,2016.0,黒,6162.0,3,37
400,2100006175868,543000,8BK-RG74J,2022.0,銀,237.0,7,63
401,2100005852692,1098000,EBL-SC54,2014.0,銀,16768.0,1,3
402,2100005896627,598000,GK7EA,2010.0,白,9181.0,3,21
405,2100006031027,398000,BA-VJ51A,1999.0,銀,16953.0,3,45
406,2100006273700,398000,2BJ-JC92,2021.0,銀,136.0,3,45
407,2100005785952,728000,EBL-RN34J,2014.0,紫,14417.0,1,5
408,2100004350854,448000,2BJ-JA55,2020.0,茶,5082.0,3,16
412,2100006002430,1198000,GT78A,2016.0,青,17683.0,3,70
413,2100005986823,638000,2BL-VP55B,2020.0,黒,5179.0,5,15
414,2100006235104,598000,2BL-VP55B,2016.0,白,14914.0,3,58
415,2100005085168,428000,2BK-KF47,2022.0,黒,1945.0,7,16
416,2100005943307,328000,2BK-KF30,2018.0,銀,15933.0,3,61
417,2100006050813,243000,EBJ-CE47A,2015.0,黒,3656.0,3,63
418,2100006216790,368000,2BK-DN11A,2017.0,黒,5795.0,3,57
419,2100004395183,1188000,2BL-DGJ900,2019.0,黄,7104.0,5,27
420,2100005425681,1228000,8BL-ER650M,2023.0,緑,1324.0,7,37
