,id,価格,型式番号,モデル年,色,走行距離,保証期間,店舗id
419,2100004395183,1188000,2BL-DGJ900,2019,黄,7104,5,27
420,2100005425681,1228000,8BL-ER650M,2023,緑,1324,7,37
421,2100006121803,318000,2BL-SEC1J,2021,白,1633,3,11
422,2100005787840,748000,EBL-RC50,2012,銀,11885,3,76
423,2100005161350,698000,2BL-EX400G,2022,緑,788,7,7
424,2100003912190,718000,2BK-MC51,2020,白,4541,5,4
425,2100005748933,2398000,BRL,1998,黒,33158,3,46
426,2100006189902,825000,2BL-RH16J,2021,銀,2999,7,59
427,2100006277951,1250000,2BL-NC42,2019,赤,3916,5,30
428,2100005459013,358000,8BJ-JK12,2022,白,5328,3,61
429,2100005962223,958000,B61,2005,黄,26013,3,36
430,2100006301472,578000,MC29,2005,黒,25002,3,55
431,2100005814140,2958000,2BL-ZR900C,2023,黄,35,7,47
432,2100005157414,648000,2BL-NC59,2021,赤,250,7,48
433,2100006279870,1268000,EBL-SC54,2016,白,4013,3,27
